Núm,Projeto,Relator,Atribuído a,Categoria,Data de Envio,Atualizado,Estado,Resumo,Corrigido na Versão,Data Limite,Descrição
0000354,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2013-01-07,2013-08-09,fechado,"Campo origem na entrada de mercadorias, aba impostos não esta mostrando todas as origens da nota técnica 2012/005.",,,"Campo origem na entrada de mercadorias, aba impostos não esta mostrando todas as origens da nota técnica 2012/005."
0000353,C Projeto GPFB,Jeferson,Jeferson,[C Projeto GPFB]-[Cat] Vendas,2013-01-07,2013-08-09,fechado,Erro 'Desconto não permitido' para produtos com grupo ativada a opção 'Grupo sem Desconto',,,"Ao finalizar uma venda com um produto pertencente à um grupo com a opção 'Grupo sem desconto' marcada (ou seja, não é permitido dar desconto aos produtos deste grupo), o sistema está dando o erro de 'Desconto não permitido' mesmo desconto estando zerado."
0000352,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Configurações,2013-01-04,2013-08-09,fechado,"configuração ""4) Verificar CFOP ao inserir produto em Orçamento/Venda"" esta funcionando mesmo com a opção desmarcada.",,,"configuração ""4) Verificar CFOP ao inserir produto em Orçamento/Venda"" esta funcionando mesmo com a opção desmarcada."
0000351,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-01-04,2013-08-09,fechado,campo classificação do produto não esta permitindo gerar saldos de estoque.,,,Ao gerar um saldo de estoque o sistema não esta gerando o saldo por que para o sistema o campo classificação do produto esta como serviço.
0000350,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-01-04,2013-08-09,fechado,Nome do município não esta saindo no danfe quando o endereço do cadastro de proprietário esta muito grande.,,,Nome do município não esta saindo no danfe quando o endereço do cadastro de proprietário esta muito grande.
0000349,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Cheques Pré-Datados,2013-01-04,2013-08-09,fechado,"Problema ao copiar um texto do campo ""Encaminhamento"" de um cheque pré-datado e colar no mesmo campo só que em outro cheque.",,,"Ao copiar um texto do campo ""Encaminhamento"" de um cheque pré-datado e colar no mesmo campo só que em outro cheque o sistema mostra um sql ao invésdo texto copiado. "
0000348,C Projeto GPFB,Ytalo,Ytalo,[C Projeto GPFB]-[Cat] Outras,2012-12-21,2013-08-09,fechado,Percentual máximo de PIS/COFINS do produto esta permitindo alteração pela venda.,,,Percentual máximo de PIS/COFINS do produto esta permitindo alteração pela venda quando eu chamo outro produto apos a mensagem de erro.
0000347,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2012-12-21,2013-08-09,fechado,Percentual máximo de PIS/COFINS do produto não esta saindo no xml.,,,Percentual máximo de PIS/COFINS do produto não esta saindo no xml.
0000346,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2012-12-21,2013-08-09,fechado,Ao clicar no label COFINS (%) no cadastro de produto o sistema esta abrindo o navegador e redirecionando para um site estranho.,,,"Ao clicar no label COFINS (%) no cadastro de produto o sistema esta abrindo o navegador e redirecionando para um site sobre código de barras.

http://www.codigodebarrasean.com/?engine=adwords&match=exact&keyword=codigo+ean+BrazilianL&gclid=CMTr3dzC76oCFQxU7Aod5HSbQg"
0000345,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Emissão de NFe,2012-12-21,2013-08-09,fechado,Erro ao gerar xml de uma nfe com o campo natureza da operação em branco.,,,"Ao gerar xml de uma nfe com o campo natureza da operação em branco o sistema mostra a seguinte mensagem de erro.

Access violation at address 009218A3 in module 'GP.exe'. Read of address 00000000
O comando não pôde ser executado!"
